ACTIVATION CLUSTERING - CLEAN MODEL
======================================================================
Model: models/clean_model.pt
Dataset: CIFAR-10 test
Samples per class: 500
PCA components: 10
KMeans clusters: 2

Class	Cluster0	Cluster1	Silhouette	MinorityRatio	AnomalyScore
------------------------------------------------------------------------------------------
deer	291	209	0.2916	0.4180	0.1697
dog	301	199	0.2791	0.3980	0.1680
ship	166	334	0.2349	0.3320	0.1569
bird	255	245	0.3039	0.4900	0.1550
airplane	211	289	0.2594	0.4220	0.1499
frog	288	212	0.2495	0.4240	0.1437
cat	242	258	0.2646	0.4840	0.1365
truck	235	265	0.2351	0.4700	0.1246
horse	293	207	0.2121	0.4140	0.1243
automobile	249	251	0.2075	0.4980	0.1042
