ACTIVATION CLUSTERING REPORT
======================================================================
Model: models/poisoned_model.pt
Samples per class: 500
PCA components: 10
KMeans clusters: 2

Class	Cluster0	Cluster1	Silhouette	MinorityRatio	AnomalyScore
------------------------------------------------------------------------------------------
dog	208	292	0.2529	0.4160	0.1477
deer	279	221	0.2615	0.4420	0.1459
truck	213	287	0.2420	0.4260	0.1389
airplane	206	294	0.2354	0.4120	0.1384
bird	272	228	0.2326	0.4560	0.1265
frog	250	250	0.2522	0.5000	0.1261
horse	262	238	0.2367	0.4760	0.1240
cat	247	253	0.2399	0.4940	0.1214
ship	254	246	0.2235	0.4920	0.1135
automobile	291	209	0.1940	0.4180	0.1129
